Date,Open,High,Low,Close,Volume,Adj Close
1999-01-04,123.37,125.22,121.72,123.03,9450400,102.70
1999-01-05,122.94,124.87,122.94,124.44,8031000,103.87
1999-01-06,125.81,127.75,125.75,127.44,7737700,106.38
1999-01-07,126.37,127.22,125.78,126.81,5504900,105.85
1999-01-08,128.19,128.50,125.97,127.75,6224400,106.63
1999-01-11,127.69,127.69,125.22,126.53,7578300,105.62
1999-01-12,126.22,126.22,123.75,124.25,7768800,103.71
1999-01-13,120.41,125.12,120.37,123.37,10810600,102.98
1999-01-14,123.62,123.91,120.91,121.22,11400700,101.18
1999-01-15,122.37,124.78,122.06,124.37,7817700,103.81
1999-01-19,125.30,125.62,123.50,125.19,6535100,104.50
1999-01-20,126.09,127.94,125.03,126.19,6534400,105.33
1999-01-21,125.58,125.84,122.59,122.84,6937500,102.54
1999-01-22,122.12,123.84,121.78,122.56,7522300,102.30
1999-01-25,123.28,124.00,121.91,123.81,5700300,103.35
1999-01-26,124.12,126.06,123.62,126.06,6047000,105.22
1999-01-27,126.37,126.62,124.16,124.59,7399400,104.00
1999-01-28,125.25,126.97,125.19,126.69,5961700,105.75
1999-01-29,127.34,128.30,125.41,127.66,6456800,106.56
1999-02-01,128.69,128.69,126.91,126.91,9426800,105.93
1999-02-02,127.08,127.22,124.77,126.12,9194500,105.27
1999-02-03,125.69,127.94,125.66,127.41,10290700,106.35
1999-02-04,127.37,127.50,124.78,125.50,7761100,104.76
1999-02-05,125.66,125.66,123.22,124.06,7516100,103.55
1999-02-08,125.09,125.09,123.34,124.31,8528400,103.76
1999-02-09,124.37,124.50,121.52,121.53,8985700,101.44
1999-02-10,122.12,123.00,121.33,122.31,6936700,102.09
1999-02-11,123.06,126.09,122.50,125.12,9181800,104.44
1999-02-12,124.81,125.50,122.62,123.62,10676600,103.19
1999-02-16,124.75,125.62,122.87,122.87,6915500,102.56
1999-02-17,123.19,125.36,122.25,122.75,7858100,102.46
1999-02-18,123.19,124.37,122.22,123.72,9048900,103.27
1999-02-19,124.00,125.75,123.37,124.25,5312200,103.71
1999-02-22,124.44,127.72,124.28,127.56,10695800,106.48
1999-02-23,127.59,128.50,126.59,127.50,7770700,106.43
1999-02-24,127.84,128.84,125.00,125.25,7271000,104.55
1999-02-25,124.53,125.28,122.69,124.06,11633000,103.55
1999-02-26,124.75,124.84,122.81,123.56,9621300,103.14
1999-03-01,123.66,124.31,122.37,123.91,7607200,103.43
1999-03-02,124.50,125.31,122.31,122.81,9651500,102.51
1999-03-03,123.09,123.56,121.78,123.47,7881400,103.06
1999-03-04,124.06,125.48,123.27,125.03,8256400,104.36
1999-03-05,127.50,128.13,126.56,127.55,10703100,106.47
1999-03-08,128.28,128.80,127.25,128.38,4802200,107.16
1999-03-09,128.13,129.94,127.75,128.06,7893400,106.89
1999-03-10,128.47,129.25,127.78,129.19,3950000,107.84
1999-03-11,129.69,131.19,128.88,130.63,6583700,109.04
1999-03-12,131.00,131.03,129.22,129.38,5286500,108.00
1999-03-15,129.94,131.25,129.50,131.22,5394400,109.53
1999-03-16,131.13,131.66,130.47,130.72,4547500,109.11
1999-03-17,130.69,130.94,129.63,130.16,4524100,108.65
1999-03-18,129.78,132.38,129.75,132.25,3506300,110.39
1999-03-19,132.31,132.63,129.69,129.69,5526700,108.55
1999-03-22,130.06,130.59,129.42,129.94,4603800,108.75
1999-03-23,129.31,129.53,125.70,126.19,9713800,105.62
1999-03-24,126.84,127.17,125.62,126.91,6280900,106.22
1999-03-25,128.06,129.50,127.75,129.50,6639600,108.39
1999-03-26,128.63,129.13,127.72,128.56,6159700,107.60
1999-03-29,129.16,131.44,129.16,131.16,5863900,109.78
1999-03-30,129.94,131.22,129.56,130.47,5401400,109.20
1999-03-31,131.16,131.61,128.31,128.38,7413600,107.45
1999-04-01,129.69,129.69,128.13,129.34,7683600,108.25
1999-04-05,130.94,132.59,130.25,132.41,5791100,110.82
1999-04-06,132.19,132.98,131.16,132.09,5381300,110.55
1999-04-07,132.69,133.38,131.38,133.16,6248600,111.45
1999-04-08,133.19,134.94,132.28,134.84,5909100,112.86
1999-04-09,134.44,135.50,133.59,134.88,4365800,112.89
1999-04-12,133.47,136.41,133.22,136.31,8213200,114.09
